idx,w_in,l_in,nf_in,i_bias,rs,cs,rl,cl,vcm_in,tt_ok,tt_pass,tt_first_fail,peaking_db,f_pk_hz,nyquist_boost_db,g_dc_db,g_nyq_db,g_pk_db,g_top_db,vn_in_vrms,gm,gmbs,gds,vth,vds,vdsat,id_a,v_src_dc,v_out_dc,power_w,c0_pass,c1_pass,c2_pass,c0_first_fail,c1_first_fail,c2_first_fail
0,9.18310562368228e-05,6.276139298967698e-07,8.0,0.002831463972715917,331.10088851157,6.011856853786967e-13,51.63449961086831,1.5e-13,1.1011659077106828,1,0,S3_f_peak,10.12782,19952620000.0,6.265593999999998,-15.32491,-9.059316,-5.19709,-5.193178,0.0003783262,0.009884364,0.001980484,6.875573e-05,0.6419339,1.524668,0.2170395,0.001415732,0.2022295,1.726897,0.005096635150888651,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1,9.167595933112839e-05,1.640162891698249e-07,1.0,0.004789671078643074,214.08963198085246,4.457062614329831e-12,257.4343055041198,1.5e-13,1.3640673094013156,1,1,,9.902816,1513561000.0,9.473396000000001,3.584014,13.05741,13.48683,1.100034,0.0001111289,0.02651829,0.003362808,0.0008783336,0.7615309,0.7463181,0.09784918,0.002394836,0.4371691,1.183487,0.008621407941557534,1,1,1,,,
2,6.629227598634181e-05,1.602675265059444e-07,5.0,0.006382831769777844,176.15015626192184,4.297854429920567e-13,82.03462881832822,1.5e-13,1.569214105434461,1,0,S3_f_peak,5.8720245,8317638000.0,2.880689,-5.238384,-2.357695,0.6336405,-1.820431,0.0002069441,0.02326099,0.002656823,0.00120528,0.7922641,0.9514548,0.1350587,0.003191416,0.5867386,1.538193,0.01148909718560012,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
3,7.120035124456118e-05,2.1309669054738046e-07,6.0,0.0007590767351158074,67.3809086188725,2.9926810559577017e-13,691.2107150667389,1.5e-13,1.5913508818249777,1,0,S3_peaking,-0.00020000000000131024,10000000.0,-5.824699000000001,10.42815,4.603451,10.42795,-9.227724,0.0002394109,0.006779303,0.0009386213,0.0002076529,0.7922827,0.7984355,0.08481625,0.0003795391,0.7392235,1.537659,0.0013663381232084533,0,0,0,S3_peaking,S3_peaking,S3_peaking
4,7.060515598848952e-05,2.291089661906443e-07,5.0,0.0012004400097767782,60.43393687901677,5.576946376821351e-12,256.96983346784,1.5e-13,1.469219019300779,1,0,S3_peaking,1.4740130000000002,1096478000.0,0.6081139999999996,4.697108,5.305222,6.171121,-6.377753,0.0002010867,0.009312101,0.001387748,0.0002440181,0.7612553,1.032122,0.09972824,0.00060022,0.6136393,1.645762,0.002160792017598201,0,0,0,S3_peaking,S3_peaking,S3_peaking
5,7.052855621822443e-05,8.217531884462141e-07,7.0,0.0012571897174440438,823.3503575731548,2.6442483697304585e-12,208.4663889440932,1.5e-13,1.197222614321657,1,0,S3_f_peak,10.2322091,1202264000.0,9.9038171,-10.39494,-0.4911229,-0.1627309,-2.935733,0.0003091098,0.005138456,0.001000309,2.911073e-05,0.6586684,1.350917,0.2043526,0.0006285949,0.318042,1.668959,0.002262941491399279,1,0,0,,S3_f_peak,S3_f_peak
6,6.805969200761823e-05,8.652262250042184e-07,1.0,0.003138808992295475,101.74985397131894,4.934233934314887e-12,57.855911759474914,1.5e-13,1.47720060905306,1,0,S3_f_peak,7.03002,19952620000.0,3.058839,-11.00422,-7.945381,-3.9742,-3.969191,0.0003149861,0.006961047,0.001346359,6.458732e-05,0.6572737,1.281992,0.3053727,0.001569406,0.4272086,1.709201,0.005649856186131855,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
7,9.965292507770505e-05,1.763886436061906e-07,7.0,0.0014847502025878757,376.3672859161584,1.7993431940434757e-13,189.72813206761623,1.5e-13,1.249520200107036,1,0,S3_f_peak,2.0112610000000006,4570882000.0,1.4467510000000003,-4.112587,-2.665836,-2.101326,-6.987656,0.0003002651,0.01237203,0.001721404,0.0003085023,0.7625067,1.227366,0.07449094,0.0007423755,0.4317833,1.65915,0.002672550364658176,0,0,0,S3_peaking,S3_f_peak,S3_f_peak
8,5.8203333175704485e-05,3.674978514269172e-07,6.0,0.003519620005440367,384.55524049053787,2.4778330934102228e-12,445.32403967122667,1.5e-13,1.569462777044793,1,0,S3_f_peak,7.65962,1047129000.0,6.043836000000001,2.069749,8.113585,9.729369,-5.117676,0.0001935054,0.01030827,0.001728648,0.0004749717,0.7393773,0.470727,0.2189696,0.001759813,0.5455873,1.016314,0.006335316009792661,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
9,3.146747048822347e-05,6.967387973963831e-07,5.0,0.00502578796490389,58.73274651560964,5.990644493791836e-13,514.0282353179902,1.5e-13,1.5251333427982026,1,0,S3_peaking,-4.000000000026205e-05,10000000.0,-1.6824169999999996,-3.149403,-4.83182,-3.149443,-8.774698,0.0004026781,0.003901364,0.0009520498,0.003200874,0.6281779,0.4157974,0.5218987,0.002512894,0.09250419,0.5083015,0.009046418336827003,0,0,0,headroom,S3_peaking,headroom
