corner,process,vdd_scale,temp_c,i_side_a,w_tail,l_tail,nf_tail,nf_ref,ok,fail_reason,i_tail_meas_a,i_ref_meas_a,mirror_err,v_src_dc,vds_tail,vdsat_tail,tail_margin_v,gm_tail,vgs_tail,vth_tail,v_bias_dc,gm_in,peaking_db,f_pk_hz,vn_in_vrms,i_supply_a,power_measured_w
tt_vdd1.00_t27,tt,1.0,27.0,0.00075,25.0,0.5,8,1,True,,0.000702361,9.375003e-05,-0.06351866666666672,0.4221295,0.4221295,0.2668782,0.15525129999999998,0.003567937,0.9779923,0.6320819,0.9779923,0.008692575,3.639436,3630781000.0,0.0003638891,0.00149847,0.002697246
ss_vdd0.95_t125,ss,0.95,125.0,0.00075,25.0,0.5,8,1,True,,0.0006853812,9.375e-05,-0.08615840000000008,0.4144808,0.4144808,0.3701657,0.044315099999999996,0.002598942,1.030438,0.5646717,1.030438,0.006785224,2.936045,3311311000.0,0.0004273799,0.00146451,0.0025043121
ff_vdd1.05_t0,ff,1.05,0.0,0.00075,25.0,0.5,8,1,True,,0.0007109014,9.375e-05,-0.05213146666666668,0.4633119,0.4633119,0.2323393,0.2309726,0.004058505,0.9379886,0.63346,0.9379886,0.01065797,4.0718571,3981072000.0,0.0003373783,0.00151556,0.0028644084000000003
tt_vdd1.00_t27,tt,1.0,27.0,0.00075,38.55527063519852,0.5,8,1,True,,0.0007076508,9.375e-05,-0.056465600000000005,0.4215124,0.4215124,0.2190327,0.2024797,0.004714726,0.8950795,0.6294321,0.8950795,0.008731292,3.76262,3630781000.0,0.0003829251,0.00150905,0.00271629
ss_vdd0.95_t125,ss,0.95,125.0,0.00075,38.55527063519852,0.5,8,1,True,,0.000699856,9.375e-05,-0.06685866666666673,0.4124804,0.4124804,0.3024585,0.1100219,0.003614393,0.9263504,0.5604738,0.9263504,0.006868415,3.207767,3311311000.0,0.00045005,0.00149346,0.0025538166
ff_vdd1.05_t0,ff,1.05,0.0,0.00075,38.55527063519852,0.5,8,1,True,,0.0007141267,9.375e-05,-0.0478310666666667,0.4629778,0.4629778,0.1920327,0.2709451,0.00530686,0.8652506,0.6326677,0.8652506,0.01068599,4.1541964,3981072000.0,0.0003558538,0.00152201,0.0028765989000000005
tt_vdd1.00_t27,tt,1.0,27.0,0.00075,59.46035575013605,0.5,8,1,True,,0.0007077422,9.375e-05,-0.05634373333333342,0.4215018,0.4215018,0.1796242,0.24187759999999997,0.006067611,0.8298044,0.6218299,0.8298044,0.008731959,3.856795,3630781000.0,0.0004031927,0.00150924,0.002716632
ss_vdd0.95_t125,ss,0.95,125.0,0.00075,59.46035575013605,0.5,8,1,True,,0.0007040159,9.375e-05,-0.06131213333333341,0.4119095,0.4119095,0.2464326,0.16547689999999998,0.004794128,0.846901,0.5516239,0.846901,0.006892054,3.368385,3311311000.0,0.0004738512,0.00150178,0.0025680438
ff_vdd1.05_t0,ff,1.05,0.0,0.00075,59.46035575013605,0.5,8,1,True,,0.0007138747,9.375e-05,-0.0481670666666667,0.463004,0.463004,0.1580981,0.30490590000000006,0.006763642,0.8062434,0.6260857,0.8062434,0.01068379,4.2281261,3981072000.0,0.000375242,0.0015215,0.0028756350000000005
tt_vdd1.00_t27,tt,1.0,27.0,0.00075,91.70040432046711,0.5,8,1,True,,0.0007096893,9.375e-05,-0.053747600000000006,0.4212752,0.4212752,0.1487629,0.27251230000000004,0.00770296,0.7737646,0.6080303,0.7737646,0.008746154,4.005333,3630781000.0,0.0004257255,0.00151313,0.002723634
ss_vdd0.95_t125,ss,0.95,125.0,0.00075,91.70040432046711,0.5,8,1,True,,0.0007092147,9.375e-05,-0.054380399999999995,0.4111984,0.4111984,0.2011117,0.21008670000000002,0.006088558,0.7760374,0.5301334,0.7760374,0.006921433,3.5498260000000004,3162278000.0,0.0004953409,0.00151218,0.0025858277999999996
ff_vdd1.05_t0,ff,1.05,0.0,0.00075,91.70040432046711,0.5,8,1,True,,0.0007150978,9.375e-05,-0.04653626666666666,0.4628775,0.4628775,0.1312688,0.3316087,0.008574824,0.7563604,0.6160122,0.7563604,0.01069438,4.3570844,3981072000.0,0.0003980548,0.00152395,0.0028802655
tt_vdd1.00_t27,tt,1.0,27.0,0.00075,141.42135623730948,0.5,8,1,True,,0.0007115127,9.375e-05,-0.05131640000000004,0.4210633,0.4210633,0.1245742,0.29648909999999995,0.009478157,0.7318576,0.5992351,0.7318576,0.008759419,4.214783000000001,3630781000.0,0.0004441176,0.00151678,0.002730204
ss_vdd0.95_t125,ss,0.95,125.0,0.00075,141.42135623730948,0.5,8,1,True,,0.0007134088,9.375e-05,-0.04878826666666669,0.4106268,0.4106268,0.1664558,0.24417100000000003,0.007430041,0.72232,0.5163955,0.72232,0.006944995,3.782464,3162278000.0,0.000510294,0.00152057,0.0026001747
ff_vdd1.05_t0,ff,1.05,0.0,0.00075,141.42135623730948,0.5,8,1,True,,0.0007165294,9.375e-05,-0.044627466666666726,0.4627296,0.4627296,0.1102226,0.352507,0.01054494,0.719271,0.6096406,0.719271,0.01070676,4.5505883,3981072000.0,0.0004170692,0.00152681,0.0028856709
tt_vdd1.00_t27,tt,1.0,27.0,0.00075,218.1015465330515,0.5,8,1,True,,0.0007136714,9.375e-05,-0.048438133333333466,0.4208128,0.4208128,0.1054542,0.3153586,0.01120346,0.6989707,0.5936821,0.6989707,0.008775089,4.516013,3467369000.0,0.000452786,0.00152109,0.002737962
ss_vdd0.95_t125,ss,0.95,125.0,0.00075,218.1015465330515,0.5,8,1,True,,0.0007172584,9.375e-05,-0.04365546666666664,0.4101036,0.4101036,0.1396861,0.2704175,0.008704219,0.679409,0.5076439,0.679409,0.006966518,4.093749,3162278000.0,0.0005144024,0.00152827,0.0026133416999999997
