idx,f_pk_hz_meas,f_peak_closed_true_k,f_peak_closed_pred_k,f_peak_grid,peaking_db_meas,peaking_db_closed,peaking_db_asymptote,f_z,f_p2,k_true,k_pred_calibrated
1,1513561000.0,1595732380.7583148,1563787398.357372,1564093247.1156824,9.902816,10.553544028014809,11.773846908814356,166792209.09790242,4121567837.931332,4.198616637001894,3.7369739417549765
2,8317638000.0,8544686954.75008,8668696697.608644,8661913637.787672,5.8720245,6.436584271688252,9.698637840152864,2102255015.0633233,12933964220.10643,3.2827134049586344,3.129729970222741
4,1096478000.0,1165563932.8162327,1148472020.5830588,1146458035.0260499,1.4740130000000002,1.495302964298634,2.218425939908837,472218259.66165817,4129017556.758304,1.3233169995405052,1.278169317572579
5,1202264000.0,1074552873.2255063,1079493510.0682957,1082878643.9114902,10.2322091,9.923122095527876,10.302792361522318,73102664.70092733,5089707551.036049,3.527177178903784,3.3017103742269653
7,4570882000.0,5750554439.582607,5840713732.049295,5846801997.877286,2.0112610000000006,3.4860176898623925,10.596145899856584,2350142838.382884,5592386023.005977,3.6521537519092537,3.4707567092148555
8,1047129000.0,1062931975.667607,1088392041.0689073,1089765215.5337527,7.65962,8.181480401418668,9.779433737375296,167028026.04701605,2382608750.987949,3.3144299481274415,3.2138115217203196
10,3311311000.0,4325647942.246135,4160738395.632055,4151912047.561972,1.557919,2.9628197467244415,13.170007106783498,1774835028.2703776,3291237654.919646,4.950139542948492,4.2780312092166
11,5011872000.0,5098767603.32842,4950301205.758,4958341311.494261,7.488176,7.518490149049713,8.51260512216485,730340250.2506896,14726316874.011158,2.849543506549322,2.5363872394464444
12,1380384000.0,1079171766.358095,1069375936.4191741,1069235780.9432377,10.870713,10.369074028182123,10.53645020295075,46937061.03030826,7740421887.511136,3.626378556436587,3.3084733724914557
13,1995262000.0,1976121684.2604918,1994625218.5472524,1990134555.8893244,7.775970999999999,7.322536625646854,7.499536069175297,132318977.89930995,13788432313.123596,2.5236078324532856,2.4078232005006797
14,524807500.0,542792393.1706372,555849636.1306573,556543049.498125,0.2216534,0.23804379064378503,0.8442341243700203,480430286.2519951,2409423055.4481087,1.1134182328355888,1.1074514276494574
15,660693400.0,635152565.8171581,636883353.4974018,635791867.4203938,4.605898,4.461125099530369,4.885511528849694,100416300.82558279,2856998741.3883505,1.8388819546644868,1.7613095480963117
16,3162278000.0,3333190486.704826,3495632579.2784467,3498750907.988426,6.857495,8.247400783458815,13.561427624825884,683567987.139459,3699000897.9784102,5.183436667739528,5.202395227971369
18,549540900.0,547232078.368267,545891070.3226441,546058668.1207275,8.998084,8.710297304370414,9.103947683159085,44330535.91845421,2545824538.147943,3.0581270357674692,2.8401517631450064
19,3630781000.0,3954655814.9176784,3846432056.60588,3847780714.148858,9.357225,9.85970870293582,12.410198234129972,580385523.0492871,6818097623.537227,4.5262124839455495,3.9660305951718473
20,1819701000.0,1699754300.4460585,1693517310.8281078,1698453358.3228452,4.491784999999999,4.263973617125324,4.622393984788508,257572452.08245742,8330761273.832447,1.7806974644885418,1.6946511875624424
23,912010800.0,862550759.1247302,873312151.843455,872916292.8700156,0.6189119999999999,0.5987261453387174,1.0214397962156379,446709798.7657355,4126160507.9280066,1.1386571188178252,1.1294949145185453
24,4168694000.0,4530583310.2371645,4519158615.542842,4508573241.171439,0.917857,1.118018200014017,2.8645486562849047,2883799958.5628285,10743222433.163744,1.434089685522709,1.3882754635498507
26,3981072000.0,3084691979.624428,3074852819.0435796,3082123037.9669175,1.694716,2.0387396746588853,3.969265987265263,1486566790.292501,6621637724.809549,1.6436612684984049,1.5744100558021206
27,602559600.0,729902896.3452542,744831454.6380891,744978576.8366193,0.0386100000000002,0.07860942552110048,2.83557874740631,1300778653.831326,2206301960.8039184,1.4289445869555353,1.3926433861872243
28,4365158000.0,4576663299.674595,4554619750.006019,4566100166.483787,6.727102,6.754839683934083,7.540645460292495,661735819.9914294,14958007635.59639,2.5361072326022716,2.3640363387381758
29,4168694000.0,3844592512.332979,3783357774.3073277,3775294676.455815,2.1149050000000003,2.0769046993646576,2.5679311147428137,1095623567.0664992,16281106004.795853,1.382212893593894,1.326600511249599
30,6309573000.0,5309496087.081613,5208283745.927924,5216288936.310022,9.127911,9.01526635133466,9.63218119622177,506937545.87105066,19617829866.13404,3.256845984377344,2.930291952164149
31,2089296000.0,2119282963.7281497,2035541905.5792553,2041244610.9680977,21.2718,21.37536818157824,22.047059386824923,47642271.23357248,7475156657.757072,13.952940773019748,11.683971868087296
33,4365158000.0,4995511045.708855,5033374728.615864,5021607031.056009,8.492693,10.077909897174349,16.981399535019037,808738324.8262805,4599726838.679713,7.738126339554882,7.166978706039014
34,1318257000.0,1323243140.8063426,1320911816.102253,1318036751.7028618,2.768565,2.6002026390249737,2.901781552346994,262662712.59424442,7111344947.850914,1.4407275531784047,1.3943513513971604
36,1318257000.0,2791973625.987426,2890285702.01175,2892800244.3155556,0.0101379999999995,0.18414170736457167,4.215451080949006,3900849850.8897448,6036624815.385013,1.6941085072755713,1.6493080079342817
37,3019952000.0,3139384578.082892,3149937789.3021965,3141300110.447641,5.43543691,5.341174123478643,6.27876895048354,605290070.416883,9394497428.761826,2.178153201413877,2.070572070724083
39,1047129000.0,1115578792.9168487,1117582524.5656319,1117752247.879896,14.765526,14.66353094745731,15.185023622113542,49129628.841666125,4486994361.388835,6.2716511957306,5.764476778473939
40,4365158000.0,4439375795.353379,4418891073.1424675,4423638928.594925,0.7883120000000003,0.9291964158201587,1.9311228958346882,2592624793.0862584,13867631271.462639,1.2766465558182032,1.2459105872987342
